card,english,german
p6,Benjamin Bloom,Benjamin Bloom
p7,Clark Hull,Clark Hull
p8,edward c. tolman,edward c. tolman
philo1,Admin = God?,Admin = Gott?
philo2,eternal live,Ewiges Leben
q1,Cube,Würfel / Würfeli
r1,TOR-Repository
ra1,Ku Klux Klan Archetype
ra2,slave,Sklave
ra3,Emperor,Imperator
ra4,Jesus Archetype,JesusArchetyp
ra5,Chastity-Belt,Keuschheitsgürtel
s1,crown,Krone
s2,fool's cap,Narrenkappe
s3,laurel wreath,Lorbeerkranz
s4,lion,Löwe
scg1,Soldier,Soldat
scg2,Gamer,Gamer
scg3,Peppi drug scapegoat,Peppi Drogen Sündenbock xxxxx Laborratte?
scg4,IT Soldier scapegoat,Informatik Soldat Sündenbock
scg5,IT Supporter Scapegoat,EDVSupporter Sündenbock
scg6,technology enthusianst scapegoat,Technologie Enthusiast Sündenbock
sk1,Statemachine (bad for kids),Endlicher Automat (schlecht für Kinder)
smoke1,wait time,zeit schinden
stsct1,VDSL-Frequencies,VDSL Freuqenzen
stsct2,XXXXX ax.25,ax.25
stsct3,Microspione,Micorspione
t1,stimoceiver,Stimoceiver
t2,Skinner Box,Skinner Box
t3,NeuroNexus Implants,NeuroNexus Implantate
t4,EEG / OpenBCI, EEG / OpenBCI
t5,Chemitrode,Chemitrode
t6,spinal cord iplant,Rückenmark Implantat
t7,3D GameEngine,3D GameEngine
t8,Quadrophonic,Quadrophonie
t9,Hardware Synthesizer / Sampler,Hardware Synthesizer / Sampler
t10,Loop Recorder (Dormiphone)
t11,classical conditioning,Klassische Konditionierung
t12,microwafe hearing (frey effect),Frey Effekt
t13,moved to c1, moved to c1
t14,EventTrigger,EventTrigger
t15,Active Denial System,Active Denial System
t16,PoliceCar,Polizei Wagen (Stimuli-Reaktion)
t17,XXXXX,xXXXXX
t18,WiFi / Bluetooth or other beacon,Wifi / Bluetooth Barke
t19,Cyber choking chain,Cyber Würgekette
t20,xxxxx,xxxxx
t21,touring complete avatar,TouringVollständiger Avatar
t22,robot teaching mode,Roboter programmier Modus
t23,Loop Recorder (Part 2),Endlosband (Part 2)
t24,Glass Spähre,Glas Kugel
t25,m-com-station,m-com-station
t26,Antenna (Wasserflue),Antenne (Wasserflue)
t27,Fill-Gun,Fill-Device
t28,Needle Array,NadelArray
t29,mobile black-site m-com-station,Mobile m-com-station
t30,mri/mrt,mri/mrt
t31,group policies,GruppenRichtlinien
t32,Loop Recorder (Part 3),Loop Recorder (Teil 3)
t33,Industrial Automation,Industrielle Automatisierung
t34,hiding data and evidence,Daten und Beweismittel verstecken
t35,CIA Mainframe,CIA Mainframe
t36,(Cyber-)Isolation Cell,Cyber-IsolationsZelle
t37,ICD10-F44.x Chess Clock,ICD10-F44.x Schachuhr
t38,infrared ray weapon maybe in every display?,infrarot waffe in bildschirmen?
t39,crime scene 3D scanner,3D Tatort Scanner
w1,whistleblower,whistleblower
w2,whistleblower blowjob,whistleblower blowjob







